

 ! The solution file is: Results/13SecNAI

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , 0.88093865    ,
 China       , -4.2765012    ,
 xAmericas   , -3.2648427    ,
 AdvancedAsia, -3.3432965    ,
 SouthAsia   , -3.2984953    ,
 xAsia       , -3.2930083    ,
 WEuroCndANZ , -3.1668062    ,
 MENA        , -2.7055957    ,
 SSA         , -3.4123430    ,
 RestofWorld , -2.7533565    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  14.535874    ,
 China       , -1.7826109    ,
 xAmericas   , -3.3555698    ,
 AdvancedAsia, -4.6024809    ,
 SouthAsia   , -4.4633155    ,
 xAsia       , -4.4586296    ,
 WEuroCndANZ , -2.8514423    ,
 MENA        , -5.5497794    ,
 SSA         , -3.3872924    ,
 RestofWorld , -3.4291027    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Trade       ,  14.105320    , -3.2840812    , -1.7666609    , -3.7063732    , -2.4825947    , -3.2022688    , -1.6833091    , -2.8920007    , -2.6268866    ,-0.17266496    ,
 Transport   ,  27.441902    , -5.0978336    , -3.9763415    , -5.8103752    , -5.9284439    , -5.3992300    , -3.7268319    , -4.9372120    , -4.4904122    , -3.3245363    ,
 OthServices ,  33.355518    , -7.1234083    , -7.9223642    , -9.0195971    , -9.0312958    , -7.7261624    , -6.3300791    , -8.9574137    , -7.7483006    , -5.2054639    ,


 ! Variable pim # market price of composite import i in region r #
 ! Variable pim(TRAD_COMM:REG) of size 10x10
 
 pim(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.3684053    , -4.3987536    , -3.2463007    , -4.3360887    , -5.5547352    , -5.1345577    , -5.1236839    , -5.4229441    , -5.9002781    , -5.5221014    ,
 Extraction  , -4.4366121    , -4.5217080    , -3.7484941    , -4.6455703    , -4.5972586    , -4.7310324    , -4.5274024    , -4.5409818    , -4.5707979    , -4.6988444    ,
 LightMnfc   , -4.3269763    , -5.2562757    , -5.9701371    , -5.2882710    , -4.7692089    , -4.7977891    , -4.7565536    , -4.7014194    , -4.6870360    , -4.4304695    ,
 HeavyMnfc   , -4.1656032    , -4.3707399    , -5.7496657    , -4.8070612    , -4.4485497    , -4.4874229    , -4.6085153    , -4.2817965    , -4.3556242    , -4.2604818    ,
 Energy      , -3.7995169    , -3.7046473    , -2.8944573    , -3.8621347    , -3.9011590    , -4.0999436    , -3.7643862    , -3.8069580    , -3.8615761    , -3.9275715    ,
 CMN         , -3.3578804    , -1.9847364    , -2.1662791    , -1.5481533    , -1.8938882    , -2.1140184    , -2.1272814    , -1.9418695    , -2.1955314    , -2.2159777    ,
 OBS         , -3.9052777    , -2.5501890    , -2.4896309    , -2.0459058    , -2.4024909    , -2.4425023    , -2.4166989    , -2.1404719    , -2.4132738    , -2.4022026    ,
 Trade       , -3.5786407    , -3.8136981    , -4.1692839    , -4.0967841    , -4.2511339    , -4.0410795    , -4.0482688    , -4.3736267    , -4.1477046    , -4.1971192    ,
 Transport   , -3.7525418    , -2.7409310    , -2.9724288    , -2.7842298    , -2.8342030    , -3.0222149    , -2.9872041    , -3.1492999    , -3.0426278    , -3.1142259    ,
 OthServices , -3.8057413    , -1.8054579    ,-0.93323535    , -1.2208554    , -1.1342337    , -1.7547137    , -1.6031796    , -1.0824394    , -1.3796197    , -2.0803921    ,


 ! Variable ppd # price of domestic i to private households in s #
 ! Variable ppd(TRAD_COMM:REG) of size 10x10
 
 ppd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,-0.64038163    , -6.0448098    , -4.9833808    , -6.1867986    , -7.7485957    , -7.4309406    , -5.4728703    , -5.7246861    , -6.1811934    , -6.3033080    ,
 Extraction  , -1.2044342    , -5.1651530    , -4.2077775    , -5.5511699    , -5.5076962    , -5.1653452    , -4.4298983    , -4.7384157    , -4.5807939    , -4.8937616    ,
 LightMnfc   , -9.8904181    , -5.0581880    , -3.9336431    , -4.3722739    , -4.5134463    , -4.2922769    , -4.1717968    , -3.6519012    , -4.2689042    , -3.8582833    ,
 HeavyMnfc   , -9.0593920    , -4.8175411    , -3.7083943    , -4.0448775    , -3.8670962    , -3.9177823    , -4.0309548    , -2.9883852    , -3.7605457    , -3.8155668    ,
 Energy      , -2.4235818    , -4.7751665    , -3.3405478    , -4.1330142    , -4.4711328    , -4.1640677    , -3.7776241    , -3.7043185    , -4.0198755    , -4.1350288    ,
 CMN         ,  7.6598220    , -4.7470970    , -3.1250396    , -3.6169276    , -3.6205423    , -3.1462579    , -3.3205912    , -2.5201390    , -3.5290616    , -2.6172180    ,
 OBS         ,  9.8149939    , -5.1324935    , -3.5659766    , -4.1987796    , -4.0630059    , -4.0740247    , -3.7379878    , -3.2435627    , -4.1974945    , -3.0550146    ,
 Trade       , -9.7715454    , -4.9476099    , -3.1831326    , -3.8434231    , -3.0963025    , -3.4104288    , -3.7391741    , -2.3238204    , -4.0518012    , -1.7636503    ,
 Transport   ,  3.2658701    , -4.7902112    , -3.3902495    , -3.9625866    , -4.0479531    , -3.7972546    , -3.7683797    , -2.9150569    , -3.9477286    , -3.4075210    ,
 OthServices ,  7.7860832    , -5.0296893    , -3.5594320    , -3.9570153    , -4.0020871    , -3.7970073    , -3.7761261    , -3.3024197    , -4.1572833    , -3.3261352    ,


 ! Variable qpd # private hhld demand for domestic i in region s #
 ! Variable qpd(TRAD_COMM:REG) of size 10x10
 
 qpd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  2.0755856    , 0.11456294    ,-0.43663007    , 0.49826106    , -1.1473624    ,-0.53434724    , 0.22493435    , -1.5697058    , -1.1432960    ,-0.52631038    ,
 Extraction  ,  14.816228    ,-0.55152798    , -2.0073643    ,-0.23991312    , -2.2763622    , -2.1724479    , -1.8741968    , -3.5764825    , -1.8920534    , -1.8589181    ,
 LightMnfc   ,  29.275589    ,-0.71075284    , -3.0271819    , -3.8419211    , -2.3616498    , -2.8028257    , -2.3206303    , -4.6428680    , -2.0995610    , -2.4074819    ,
 HeavyMnfc   ,  32.340580    ,-0.60128552    , -5.1342998    , -4.9056568    , -3.5651653    , -4.3411736    , -3.0789926    , -7.3744984    , -3.4422100    , -3.4855216    ,
 Energy      ,  17.579096    , -1.0386126    , -2.9604390    , -3.7584054    , -2.9787459    , -3.3794785    , -2.1559005    , -4.6665149    , -2.3413866    , -2.3194053    ,
 CMN         ,  6.6373711    ,-0.93955493    , -3.0315387    , -4.0810690    , -3.1017914    , -3.5870647    , -2.4323497    , -5.0546465    , -2.4740701    , -2.8823249    ,
 OBS         ,  1.0970201    , -1.0424969    , -3.2502677    , -3.6690948    , -4.1735668    , -2.7349956    , -2.1623969    , -5.2324901    , -2.0906081    , -2.8937750    ,
 Trade       ,  26.943220    , -1.1826690    , -3.5191834    , -4.1725755    , -4.6063118    , -4.6928239    , -2.3344972    , -6.1098595    , -3.3440278    , -4.0615954    ,
 Transport   ,  11.058411    ,-0.91597408    , -2.8546097    , -3.6246474    , -3.0883651    , -3.2494018    , -1.9121870    , -4.9104156    , -2.2192385    , -2.5250549    ,
 OthServices ,  7.6920085    , -1.0502007    , -3.1615105    , -3.9974196    , -4.1032052    , -4.2176652    , -2.2194192    , -5.2702570    , -2.7970314    , -2.9873588    ,


 ! Variable ppm # price of imports of i by private households in s #
 ! Variable ppm(TRAD_COMM:REG) of size 10x10
 
 ppm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.3684053    , -4.3987536    , -3.2463007    , -4.3360887    , -5.5547352    , -5.1345577    , -5.1236839    , -5.4229441    , -5.9002781    , -5.5221014    ,
 Extraction  , -4.4366121    , -4.5217080    , -3.7484941    , -4.6455703    , -4.5972586    , -4.7310324    , -4.5274024    , -4.5409818    , -4.5707979    , -4.6988444    ,
 LightMnfc   , -4.3269763    , -5.2562757    , -5.9701371    , -5.2882710    , -4.7692089    , -4.7977891    , -4.7565536    , -4.7014194    , -4.6870360    , -4.4304695    ,
 HeavyMnfc   , -4.1656032    , -4.3707399    , -5.7496657    , -4.8070612    , -4.4485497    , -4.4874229    , -4.6085153    , -4.2817965    , -4.3556242    , -4.2604818    ,
 Energy      , -3.7995169    , -3.7046473    , -2.8944573    , -3.8621347    , -3.9011590    , -4.0999436    , -3.7643862    , -3.8069580    , -3.8615761    , -3.9275715    ,
 CMN         , -3.3578804    , -1.9847364    , -2.1662791    , -1.5481533    , -1.8938882    , -2.1140184    , -2.1272814    , -1.9418695    , -2.1955314    , -2.2159777    ,
 OBS         , -3.9052777    , -2.5501890    , -2.4896309    , -2.0459058    , -2.4024909    , -2.4425023    , -2.4166989    , -2.1404719    , -2.4132738    , -2.4022026    ,
 Trade       , -3.5786407    , -3.8136981    , -4.1692839    , -4.0967841    , -4.2511339    , -4.0410795    , -4.0482688    , -4.3736267    , -4.1477046    , -4.1971192    ,
 Transport   , -3.7525418    , -2.7409310    , -2.9724288    , -2.7842298    , -2.8342030    , -3.0222149    , -2.9872041    , -3.1492999    , -3.0426278    , -3.1142259    ,
 OthServices , -3.8057413    , -1.8054579    ,-0.93323535    , -1.2208554    , -1.1342337    , -1.7547137    , -1.6031796    , -1.0824394    , -1.3796197    , -2.0803921    ,


 ! Variable qpm # private hhld demand for imports of i in region s #
 ! Variable qpm(TRAD_COMM:REG) of size 10x10
 
 qpm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  15.583076    , -4.2209425    , -4.9299173    , -4.3836436    , -6.8956733    , -6.5571699    ,-0.71264899    , -2.3682146    , -1.8938124    , -2.6095121    ,
 Extraction  ,  36.262230    , -3.9540474    , -4.3909674    , -5.0225081    , -6.9835320    , -4.4468794    , -1.3571733    , -4.5988073    , -1.9449474    , -2.8879404    ,
 LightMnfc   ,  7.2508845    ,-6.21281900E-02,  3.6718903    ,-0.91279304    , -1.5417933    , -1.1847465    ,-0.43877965    , -1.3305354    ,-0.75436926    ,-0.57429546    ,
 HeavyMnfc   ,  8.8408413    , -2.3223891    ,  2.7580855    , -2.0347102    , -1.3582286    , -2.1959541    ,-0.87217915    , -2.6195698    , -1.1824547    , -1.8020549    ,
 Energy      ,  21.631516    , -3.6434050    , -4.0207071    , -4.4041634    , -4.3461242    , -3.5335567    , -2.1880112    , -4.4236236    , -2.7246244    , -2.8219333    ,
 CMN         ,  30.916727    , -6.1766701    , -4.8291073    , -7.8743777    , -6.3163648    , -5.5096354    , -4.6801658    , -6.1156573    , -4.9850531    , -3.6380877    ,
 OBS         ,  30.276587    , -5.9653211    , -5.2692895    , -7.6519585    , -7.2475615    , -5.8023229    , -4.6640453    , -7.2518406    , -5.4638362    , -4.1241541    ,
 Trade       ,  11.900759    , -3.3842864    , -1.6240525    , -3.6909981    , -2.4084120    , -3.4992068    , -1.7358617    , -2.2490816    , -3.1602006    , 0.62141722    ,
 Transport   ,  26.949142    , -4.8450279    , -3.6478913    , -5.8320594    , -5.3755236    , -4.7132430    , -3.4074273    , -4.4729719    , -3.9462471    , -3.0849400    ,
 OthServices ,  33.969753    , -7.1908541    , -8.0277090    , -9.0354509    , -9.3700686    , -8.0020065    , -6.3210597    , -9.3078861    , -7.9826446    , -5.3419166    ,


 ! Variable ps # supply price of commodity i in region r #
 ! Variable ps(NSAV_COMM:REG) of size 19x10
 
 ps(NSAV_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Land        ,  34.785683    , -8.7423820    , -12.329542    , -14.024934    , -13.926197    , -11.145044    , -15.866199    , -18.156319    , -11.017911    , -14.010683    ,
 Tech_AsPros ,  14.541830    , -6.2875385    , -6.2930946    , -7.3110299    , -6.7787638    , -7.0853271    , -6.0680580    , -7.5232377    , -6.3402224    , -5.6317897    ,
 Clerks      ,  15.389016    , -6.1938357    , -6.1305308    , -7.3212333    , -6.2991714    , -6.5246515    , -5.9748273    , -7.2975049    , -6.3205628    , -5.2936840    ,
