

 ! The solution file is: Results/12Aug

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -14.002965    ,
 China       , -7.6730704    ,
 xAmericas   , -6.0369778    ,
 AdvancedAsia, -7.1089320    ,
 SouthAsia   , -6.9110460    ,
 xAsia       , -6.5712571    ,
 WEuroCndANZ , -7.0090117    ,
 MENA        , -5.5510678    ,
 SSA         , -6.4100718    ,
 RestofWorld , -5.9267983    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  46.185757    ,
 China       , 0.15657438    ,
 xAmericas   ,-0.58126324    ,
 AdvancedAsia, -3.3371081    ,
 SouthAsia   , -3.5009115    ,
 xAsia       , -2.5855246    ,
 WEuroCndANZ ,-0.65775537    ,
 MENA        , -2.5374672    ,
 SSA         ,-6.89670965E-02,
 RestofWorld , 0.38710257    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  3.2246432    , 0.27343571    ,-0.25992545    , 0.85888201    , -1.7297010    ,-0.69772625    , 0.47246215    , -1.1596953    ,-0.64997000    , 8.83478746E-02,
 Extraction  ,  16.047777    , -1.4508826    , -3.1054902    , -1.3182623    , -3.7504213    , -3.2256944    , -7.2952194    , -4.2959614    , -1.8960814    , -1.9963909    ,
 LightMnfc   ,  46.392426    , -1.0097284    , -3.3123696    , -4.7046137    , -3.2111986    , -3.3185174    , -2.4653430    , -4.6453838    , -1.8824379    , -2.1579783    ,
 HeavyMnfc   ,  55.200825    , -1.6037360    , -6.5839529    , -6.3612394    , -4.9612794    , -5.2220163    , -3.6128302    , -8.4936934    , -4.0241604    , -5.0812955    ,
 Energy      ,  31.172901    , -2.2277467    , -4.0204024    , -6.6225529    , -4.4878492    , -4.6393771    , -3.9733179    , -5.3340449    , -2.3148150    , -2.0280917    ,
 CMN         ,  47.139824    , -1.3137267    , -2.7491446    , -4.8967843    , -4.2849693    , -4.1835742    , -2.4855621    , -4.4385405    , -1.7812575    , -2.3127079    ,
 OBS         ,  53.386444    , -1.3732371    , -3.2005351    , -4.7470489    , -6.0253887    , -6.0849714    , -2.4618411    , -5.3009024    , -3.2764356    , -4.2507381    ,
 Trade       ,  47.152340    , -1.3876495    , -3.1156325    , -4.9892550    , -6.0250111    , -5.0584989    , -2.3319690    , -5.3597145    , -2.1480191    , -2.7163641    ,
 Transport   ,  41.501106    , -1.3642883    , -3.1994512    , -4.9898944    , -4.2725143    , -4.1825552    , -2.7701025    , -5.0627565    , -2.0341268    , -2.3088336    ,
 OthServices ,  46.710861    , -1.4490651    , -2.8987308    , -4.9342384    , -5.4958172    , -4.8178282    , -2.3032231    , -4.6989927    , -2.0378397    , -1.9951423    ,


 ! Variable ppm # price of imports of i by private households in s #
 ! Variable ppm(TRAD_COMM:REG) of size 10x10
 
