

 ! The solution file is: Results/16LowSk

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -2.0978875    ,
 China       ,-0.52368772    ,
 xAmericas   , 0.33352041    ,
 AdvancedAsia,-9.31884423E-02,
 SouthAsia   ,-3.89098041E-02,
 xAsia       , 0.10614040    ,
 WEuroCndANZ ,-3.66343185E-02,
 MENA        , 0.57959431    ,
 SSA         , 0.10618354    ,
 RestofWorld , 0.43588027    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  18.794535    ,
 China       ,-0.31355986    ,
 xAmericas   , -1.0111517    ,
 AdvancedAsia, -2.2118070    ,
 SouthAsia   , -2.2459121    ,
 xAsia       , -1.9514601    ,
 WEuroCndANZ ,-0.87940067    ,
 MENA        , -2.2831855    ,
 SSA         ,-0.84932578    ,
 RestofWorld ,-0.72122294    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Energy      ,  1.2617081    ,  1.2213621    ,  1.3049004    ,  1.1382197    ,  1.1503475    ,  1.0388781    ,  1.1690310    ,  1.1693583    ,  1.1589019    ,  1.1587160    ,
 CMN         , 0.68859810    ,-0.23552376    ,-0.17285320    ,-0.64050227    ,-0.33808678    ,-0.22081549    ,-0.20253551    ,-0.38823521    ,-0.15021352    ,-0.15415935    ,
 OBS         , 0.34871957    , 0.32953662    , 0.28883162    , 0.26851270    , 0.29762104    , 0.29052988    , 0.29400733    , 0.26245058    , 0.28634730    , 0.28418648    ,
 Trade       , 0.61901242    , 0.43308985    , 0.27483225    , 0.30142489    , 0.25275987    , 0.32895458    , 0.32392922    , 0.16877218    , 0.28200406    , 0.27702516    ,
 Transport   , 0.70369041    , 0.16503099    , 0.19004995    , 3.33813950E-02, 0.12792550    , 0.23005433    , 0.20932421    , 0.26845345    , 0.23133992    , 0.28719449    ,
 OthServices , 0.44862521    , 0.23218046    , 0.10149144    , 9.22911167E-02, 0.14251514    , 0.17411999    , 0.16712326    , 0.10036524    , 0.13413407    , 0.20513961    ,


 ! Variable ppd # price of domestic i to private households in s #
 ! Variable ppd(TRAD_COMM:REG) of size 10x10
 
 ppd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  5.3502769    ,-0.70515114    , 0.52431238    ,-0.63428479    , -2.0093122    , -1.3541609    ,-0.23680805    ,-0.46506050    ,-0.59391832    ,-0.79097599    ,
 Extraction  ,  5.2492537    , 0.50815427    ,  1.8376046    , 0.39472783    , 0.28568822    , 0.80423224    ,  1.6293478    ,  1.2432034    ,  1.3735658    ,  1.0244672    ,
 LightMnfc   , -3.5702598    ,-0.13940570    , 0.85354614    , 0.16312812    , 8.32979977E-02, 0.39013237    , 0.24909239    , 0.83923364    , 0.51596671    , 0.71281976    ,
 HeavyMnfc   , -3.5972037    , 6.46378919E-02, 0.96008289    , 0.42502072    , 0.59923416    , 0.61195844    , 0.34975350    ,  1.3659279    , 0.85079658    , 0.94919848    ,
 Energy      ,  1.3104006    , 0.55784696    ,  1.8556732    ,  1.0778061    , 0.60030735    ,  1.0877094    ,  1.1590348    ,  1.5557132    ,  1.1986308    ,  1.1093558    ,
 CMN         , -5.4925208    ,-3.04869451E-02,  1.2747535    , 0.48643476    , 0.43555668    , 0.98806626    , 0.63024402    ,  1.5053850    , 0.88374132    ,  1.3621025    ,
 OBS         ,-0.23914441    ,-0.28630340    ,  1.0028198    , 0.11525285    , 9.12662223E-02, 0.32475793    , 0.39288259    ,  1.0346880    , 0.44692338    ,  1.0980308    ,
 Trade       , -3.0291421    ,-0.18933293    ,  1.2720360    , 0.38408673    , 0.86868274    , 0.82854843    , 0.41992679    ,  1.6904225    , 0.55742168    ,  1.9786640    ,
 Transport   , -3.1720390    , 2.31878329E-02,  1.2426322    , 0.40074205    , 0.33611315    , 0.79234487    , 0.58906734    ,  1.5131868    , 0.76827139    ,  1.1941597    ,
 OthServices ,-0.70894015    ,-0.20364587    ,  1.0194118    , 0.31915817    , 0.24811342    , 0.59409845    , 0.39319536    ,  1.0384102    , 0.50768870    , 0.96228278    ,


 ! Variable qpd # private hhld demand for domestic i in region s #
 ! Variable qpd(TRAD_COMM:REG) of size 10x10
 
 qpd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  1.0827789    , 0.15225203    ,-0.14974484    , 0.52246612    ,-0.86042142    ,-0.36757997    , 0.26313144    ,-0.76520121    ,-0.52251029    ,-0.13076404    ,
 Extraction  ,  9.4299355    ,-0.58695602    , -1.5007510    ,-0.46351126    , -1.8194783    , -1.6193801    , -2.8310297    , -2.3644118    , -1.1244979    , -1.1488632    ,
 LightMnfc   ,  21.846594    ,-0.50832987    , -1.8818923    , -2.5379817    , -1.6676214    , -1.8312180    , -1.3928075    , -2.7644022    , -1.1670637    , -1.3227699    ,
 HeavyMnfc   ,  25.345295    ,-0.66183770    , -3.4925184    , -3.3518746    , -2.5417583    , -2.8566601    , -1.9458904    , -4.7567978    , -2.1968191    , -2.5238485    ,
 Energy      ,  14.905992    ,-0.96552962    , -2.1080441    , -3.1285591    , -2.2555900    , -2.4110103    , -1.8577994    , -3.0360138    , -1.3898953    , -1.2850330    ,
 CMN         ,  22.880362    ,-0.70033485    , -1.7342147    , -2.6955891    , -2.2802708    , -2.4023619    , -1.4740574    , -2.8822007    , -1.2959179    , -1.6650200    ,
 OBS         ,  17.093573    ,-0.70614290    , -1.9172953    , -2.5113590    , -3.0789373    , -2.7009571    , -1.3648454    , -3.1668260    , -1.6118605    , -2.1233931    ,
 Trade       ,  19.964962    ,-0.74778265    , -1.9634246    , -2.7309632    , -3.2089689    , -2.9134171    , -1.3751490    , -3.4461532    , -1.6023405    , -1.9808266    ,
 Transport   ,  20.011347    ,-0.70613712    , -1.8929210    , -2.6791289    , -2.2396431    , -2.3247106    , -1.5045323    , -3.0886097    , -1.3753108    , -1.5214189    ,
 OthServices ,  17.326855    ,-0.73488706    , -1.7993166    , -2.6708119    , -2.8984029    , -2.7127714    , -1.3397959    , -3.0069206    , -1.4299886    , -1.4599181    ,


 ! Variable ppm # price of imports of i by private households in s #
 ! Variable ppm(TRAD_COMM:REG) of size 10x10
 
 ppm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , 2.79768072E-02,  1.1024375    ,  2.3079491    ,  1.1360581    ,-9.86171588E-02, 0.29232246    , 0.13365242    ,-0.11008999    ,-0.43543071    ,-0.29706883    ,
 Extraction  ,  1.4791654    ,  1.3288517    ,  2.2121978    ,  1.2302240    ,  1.2938167    ,  1.1345812    ,  1.3552132    ,  1.3374699    ,  1.2972714    ,  1.1338371    ,
 LightMnfc   , 0.28897360    ,-0.37657797    ,-0.78141248    ,-0.36913911    ,-5.09523321E-03,-3.93576995E-02,-7.59084895E-02, 9.19962395E-03, 4.81013656E-02, 0.18300050    ,
 HeavyMnfc   , 0.42022800    , 0.17421558    ,-0.84206772    ,-9.61501971E-02, 0.19225965    , 0.14720105    ,-2.89029609E-02, 0.28885251    , 0.25629148    , 0.31377375    ,
 Energy      ,  1.2617081    ,  1.2213621    ,  1.3049004    ,  1.1382197    ,  1.1503475    ,  1.0388781    ,  1.1690310    ,  1.1693583    ,  1.1589019    ,  1.1587160    ,
 CMN         , 0.68859810    ,-0.23552376    ,-0.17285320    ,-0.64050227    ,-0.33808678    ,-0.22081549    ,-0.20253551    ,-0.38823521    ,-0.15021352    ,-0.15415935    ,
 OBS         , 0.34871957    , 0.32953662    , 0.28883162    , 0.26851270    , 0.29762104    , 0.29052988    , 0.29400733    , 0.26245058    , 0.28634730    , 0.28418648    ,
 Trade       , 0.61901242    , 0.43308985    , 0.27483225    , 0.30142489    , 0.25275987    , 0.32895458    , 0.32392922    , 0.16877218    , 0.28200406    , 0.27702516    ,
 Transport   , 0.70369041    , 0.16503099    , 0.19004995    , 3.33813950E-02, 0.12792550    , 0.23005433    , 0.20932421    , 0.26845345    , 0.23133992    , 0.28719449    ,
 OthServices , 0.44862521    , 0.23218046    , 0.10149144    , 9.22911167E-02, 0.14251514    , 0.17411999    , 0.16712326    , 0.10036524    , 0.13413407    , 0.20513961    ,


 ! Variable qpm # private hhld demand for imports of i in region s #
 ! Variable qpm(TRAD_COMM:REG) of size 10x10
 
